,교량명,소재지지번주소,교량 위도,교량 경도
8585,한남입체시설램프A,서울특별시 강남구 신사동 ,37.5202115,127.01816149999999
8586,천호대교 북단U턴차로교,서울특별시 광진구 광장동 ,37.540939,127.10395249999999
8587,아천IC Ramp-F,서울특별시 광진구 광장동 ,37.572533,127.12727
8588,아천IC Ramp-G,서울특별시 광진구 광장동 ,37.572824499999996,127.12809100000001
8589,아천IC Ramp-K,서울특별시 광진구 광장동 ,37.5751255,127.12523100000001
8590,아천IC Ramp-L,서울특별시 광진구 광장동 ,37.5755415,127.1258965
8592,Ramp-A교,서울특별시 송파구 장지동 ,37.4775035,127.1193515
8593,Ramp-B교,서울특별시 송파구 문정동 ,37.478706,127.1174805
8594,국민대입구 램프,서울특별시 성북구 정릉동 ,37.609234,126.99812650000001
8595,국민대입구진입램프,서울특별시 성북구 정릉동 ,37.6085035,126.999424
8596,독산1교,서울특별시 금천구 독산동 ,37.459264,126.8913855
8597,독산2교,서울특별시 금천구 독산동 ,37.4593175,126.89126949999999
8598,상촌고가차도,서울특별시 서초구 양재동 ,37.4680335,127.0356225
8600,호암대교,서울특별시 금천구 시흥동 ,37.437868,126.900083
8601,호암대교 DOWN RAMP-A교,서울특별시 금천구 시흥동 ,37.4381275,126.8982015
8602,호암대교 DOWN RAMP-B교,서울특별시 금천구 시흥동 ,37.4399835,126.89779250000001
8603,호암대교 UP RAMP교,서울특별시 금천구 시흥동 ,37.436696999999995,126.8999775
8604,여의중류램프교,서울특별시 영등포구 여의도동 ,37.517469000000006,126.919866
8605,정릉천고가도로,서울특별시 성동구 사근동 ,37.562448,127.040914
8609,동부간선진입교,서울특별시 노원구 상계동 ,37.652195500000005,127.05513049999999
8610,우면산고가교,서울특별시 서초구 우면동 ,37.4603845,127.026016
8611,램프E교,서울특별시 강서구 개화동 ,37.5942295,126.8000745
8612,Ramp-J2교,서울특별시 송파구 풍납동 ,37.52751,127.1068895
8613,Ramp-E 교,서울특별시 송파구 신천동 ,37.5271495,127.1060485
8614,Ramp-J1교,서울특별시 송파구 풍납동 ,37.5310885,127.108953
8615,개화 RAMP-F교,서울특별시 강서구 개화동 ,37.592150000000004,126.8003095
8616,개화 RAMP-F1교,서울특별시 강서구 개화동 ,37.5925805,126.8022225
8617,영동6교,서울특별시 강남구 개포동 ,37.4933915,127.0716275
8618,반포대교,서울특별시 용산구 서빙고동 ,37.514495,126.996543
8619,원효대교,서울특별시 용산구 이촌동 ,37.526807500000004,126.9454045
8620,한남대교,서울특별시 용산구 한남동 ,37.526939,127.013385
8622,한강대교,서울특별시 용산구 이촌동 ,37.5178225,126.9590295
8624,용비교,서울특별시 성동구 금호동4가 ,37.5453145,127.0303905
8625,성수대교,서울특별시 성동구 성수동1가 ,37.5373525,127.0350545
8626,동호대교,서울특별시 성동구 옥수동 ,37.536123,127.02115950000001
8627,올림픽대교,서울특별시 송파구 신천동 ,37.533715,127.104319
8628,잠실철교,서울특별시 광진구 구의동 ,37.528759,127.0988
8629,비우당교,서울특별시 성동구 상왕십리동 ,37.570786,127.026632
8630,구룡교,서울특별시 마포구 상암동 ,37.577647999999996,126.870503
8631,신정교,서울특별시 구로구 신도림동 ,37.517071,126.87835849999999
8632,가양대교,서울특별시 강서구 가양동 ,37.569587999999996,126.861186
8633,금천교,서울특별시 금천구 가산동 ,37.46528,126.8851785
8634,양평교,서울특별시 영등포구 양평동 ,37.539092,126.886867
8635,봉은교,서울특별시 송파구 잠실동 ,37.5156105,127.068222
8636,탄천1교,서울특별시 강남구 일원동 ,37.5001585,127.082296
8637,광진교,서울특별시 광진구 광장동 ,37.544292,127.11471449999999
8638,광명고가교,서울특별시 구로구 고척동 ,37.4921675,126.869224
8639,행주대교,서울특별시 강서구 개화동 ,37.5979645,126.8098295
8641,숯내교,서울특별시 송파구 문정동 ,37.478869,127.115478
8642,한남1고가도로교,서울특별시 용산구 한남동 ,37.540844,127.0028205
8643,워커힐고가도로교,서울특별시 광진구 광장동 ,37.556325,127.11286899999999
8644,보라매고가도로교,서울특별시 관악구 신림동 ,37.487516,126.9086165
8645,사당고가도로교,서울특별시 서초구 방배동 ,37.476468,126.98193950000001
8646,이수고가도로교,서울특별시 서초구 방배동 ,37.4994755,126.985581
8647,두무개다리고가도로교,서울특별시 용산구 한남동 ,37.53495,127.013945
8648,모래내고가교,서울특별시 마포구 연남동 ,37.566491,126.918138
8649,오류고가도로교,서울특별시 구로구 오류동 ,37.4922845,126.83223749999999
8650,영등포역고가도로교,서울특별시 영등포구 영등포동 ,37.515143,126.905302
8651,영동대교북단고가교,서울특별시 성동구 성수동2가 ,37.536978500000004,127.0610735
8652,구리암사대교,서울특별시 강동구 암사동 ,37.569151500000004,127.131795
8653,겸재교,서울특별시 중랑구 면목동 ,37.585313,127.073678
8654,메뚜기다리,서울특별시 은평구 진관동 ,37.6291455,126.929834
8655,서해안로 연결램프교,서울특별시 구로구 개봉동 ,37.49540450000001,126.8492325
8656,아천IC Ramp-B,서울특별시 광진구 광장동 ,37.5728995,127.1276795
8657,아천IC Ramp-C,서울특별시 광진구 광장동 ,37.571723,127.1285645
8658,암사 IC Ramp-G,서울특별시 강동구 암사동 ,37.5661025,127.1330625
8659,암사IC Ramp-A,서울특별시 강동구 암사동 ,37.5658245,127.135548
8660,암사IC Ramp-D,서울특별시 강동구 암사동 ,37.566098,127.133054
8661,암사IC Ramp-E,서울특별시 강동구 암사동 ,37.565988000000004,127.1343005
8662,월드컵대교,서울특별시 마포구 상암동 ,37.5617975,126.8883605
8663,응봉교,서울특별시 성동구 응봉동 ,37.5494315,127.03593000000001
8664,월드컵대교 남단연결로 RAMP-A교,서울특별시 영등포구 양화동 ,37.551364500000005,126.884985
8665,월드컵대교 남단연결로 RAMP-F교,서울특별시 영등포구 양화동 ,37.549271,126.88279750000001
8666,월드컵대교 남단연결로 강남RAMP-BR2교,서울특별시 영등포구 양화동 ,37.549155,126.8830835
8667,월드컵대교 남단접속교,서울특별시 영등포구 양화동 ,37.551459,126.88484700000001
8669,월드컵대교 북단연결로 RAMP-D교,서울특별시 마포구 상암동 ,37.5613065,126.888188
8670,월드컵대교 북단연결로 RAMP-E교,서울특별시 마포구 상암동 ,37.559612,126.888289
8671,월드컵대교 북단접속교,서울특별시 마포구 상암동 ,37.562006,126.887247
8673,월드컵대교 주경간교,서울특별시 마포구 상암동 ,37.556493,126.88552849999999
8674,사성교,서울특별시 구로구 구로동 ,37.492202,126.870622
8676,장월교,서울특별시 노원구 월계동 ,37.618010999999996,127.057076
8677,월드컵대교 남단연결로 RAMP-B-BR1교,서울특별시 영등포구 양화동 ,37.548452499999996,126.8814955
8678,월드컵대교 남단연결로 강남RAMP-BR1교,서울특별시 영등포구 양화동 ,37.548564999999996,126.8824235
8679,사당IC교,서울특별시 서초구 방배동 ,37.4701995,126.9859935
8681,선암교,서울특별시 서초구 우면동 ,37.461686,127.0206225
8683,아치울교,서울특별시 광진구 광장동 ,37.576322000000005,127.124242
8685,장자천교,서울특별시 광진구 광장동 ,37.5753635,127.1257095
8687,선암고가교,서울특별시 서초구 우면동 ,37.460153500000004,127.020297
8696,동부간선진출램프교,서울특별시 강남구 수서동 ,37.4829925,127.110633
8697,진입로C,서울특별시 양천구 신정동 ,37.510129,126.86126949999999
8698,신정양천 정문 진입로,서울특별시 양천구 신정동 ,37.509943,126.866043
8699,신정양천 중문 진입로,서울특별시 양천구 신정동 ,37.5100145,126.86595399999999
8700,신정양천 후문진입로,서울특별시 양천구 신정동 ,37.511512999999994,126.863039
8701,탄천우안 진출램프,서울특별시 송파구 문정동 ,37.4824815,127.114799
8702,잠수교,서울특별시 용산구 서빙고동 ,37.5147505,126.996468
8703,신영교,서울특별시 종로구 신영동 ,37.601732,126.961364
8704,세검3교,서울특별시 종로구 신영동 ,37.6039855,126.9631445
8705,평창3교,서울특별시 종로구 평창동 ,37.613402,126.977845
8706,평창4교,서울특별시 종로구 평창동 ,37.615111999999996,126.9795625
